Banco_Alias;Fecha;Turno;Material;Moldes_Reales;Ciclos;Indicador_Molde
C2;30/07/2021;3;O2918;1;20;1
C2;30/07/2021;3;O2918;1;20;2
C2;30/07/2021;3;O2918;1;20;3
C2;30/07/2021;3;O2918;1;20;4
C2;30/07/2021;3;O2918;1;20;5
C2;30/07/2021;3;O2918;1;20;6
C2;30/07/2021;3;O2918;1;20;7
C2;30/07/2021;3;O2918;1;20;8
C2;30/07/2021;3;O2918;1;20;9
C2;30/07/2021;3;O2918;1;20;10
C2;30/07/2021;3;O2918;1;20;11
C2;30/07/2021;3;O2918;1;20;12
C2;30/07/2021;3;O2918;1;20;13
C2;30/07/2021;3;O2918;1;20;14
C2;30/07/2021;3;O2918;1;20;15
C2;30/07/2021;3;O2918;1;20;16
C2;30/07/2021;3;O2918;1;20;17
C2;30/07/2021;3;O2918;1;20;18
C2;30/07/2021;3;O2918;1;20;19
C2;30/07/2021;3;O2918;1;20;20
C2;30/07/2021;3;O2918;1;20;21
C2;30/07/2021;3;O2918;1;20;22
C2;30/07/2021;3;O2918;1;20;23
C2;30/07/2021;3;O2918;1;20;24
C2;30/07/2021;3;O2918;1;20;25
C2;30/07/2021;3;O2918;1;20;26
C2;30/07/2021;3;O2918;1;20;27
C2;30/07/2021;3;O2918;1;20;28
C2;30/07/2021;2;O2918;1;20;1
C2;30/07/2021;2;O2918;1;20;2
C2;30/07/2021;2;O2918;1;20;3
C2;30/07/2021;2;O2918;1;20;4
C2;30/07/2021;2;O2918;1;20;5
C2;30/07/2021;2;O2918;1;20;6
C2;30/07/2021;2;O2918;1;20;7
C2;30/07/2021;2;O2918;1;20;8
C2;30/07/2021;2;O2918;1;20;9
C2;30/07/2021;2;O2918;1;20;10
C2;30/07/2021;2;O2918;1;20;11
C2;30/07/2021;2;O2918;1;20;12
C2;30/07/2021;2;O2918;1;20;13
C2;30/07/2021;2;O2918;1;20;14
C2;30/07/2021;2;O2918;1;20;15
C2;30/07/2021;2;O2918;1;20;16
C2;30/07/2021;2;O2918;1;20;17
C2;30/07/2021;2;O2918;1;20;18
C2;30/07/2021;2;O2918;1;20;19
C2;30/07/2021;2;O2918;1;20;20
C2;30/07/2021;2;O2918;1;20;21
C2;30/07/2021;2;O2918;1;20;22
C2;30/07/2021;2;O2918;1;20;23
C2;30/07/2021;2;O2918;1;20;24
C2;30/07/2021;2;O2918;1;20;25
C2;30/07/2021;2;O2918;1;20;26
C2;30/07/2021;2;O2918;1;20;27
C2;30/07/2021;2;O2918;1;20;28
C2;30/07/2021;1;O2918;1;20;1
C2;30/07/2021;1;O2918;1;20;2
C2;30/07/2021;1;O2918;1;20;3
C2;30/07/2021;1;O2918;1;20;4
C2;30/07/2021;1;O2918;1;20;5
C2;30/07/2021;1;O2918;1;20;6
C2;30/07/2021;1;O2918;1;20;7
C2;30/07/2021;1;O2918;1;20;8
C2;30/07/2021;1;O2918;1;20;9
C2;30/07/2021;1;O2918;1;20;10
C2;30/07/2021;1;O2918;1;20;11
C2;30/07/2021;1;O2918;1;20;12
C2;30/07/2021;1;O2918;1;20;13
C2;30/07/2021;1;O2918;1;20;14
C2;30/07/2021;1;O2918;1;20;15
C2;30/07/2021;1;O2918;1;20;16
C2;30/07/2021;1;O2918;1;20;17
C2;30/07/2021;1;O2918;1;20;18
C2;30/07/2021;1;O2918;1;20;19
C2;30/07/2021;1;O2918;1;20;20
C2;30/07/2021;1;O2918;1;20;21
C2;30/07/2021;1;O2918;1;20;22
C2;30/07/2021;1;O2918;1;20;23
C2;30/07/2021;1;O2918;1;20;24
C2;30/07/2021;1;O2918;1;20;25
C2;30/07/2021;1;O2918;1;20;26
C2;30/07/2021;1;O2918;1;20;27
C2;30/07/2021;1;O2918;1;20;28
