Banco_Alias;Fecha;Turno;Material;Moldes_Reales;Ciclos;Indicador_Molde
M1_3;15/03/2024;1;O1460;1;30;1-18
M1_3;15/03/2024;1;O2544;1;30;19-25
M1_3;15/03/2024;2;O1460;1;30;1-18
M1_3;15/03/2024;2;O2544;1;30;19-25
M1_3;15/03/2024;3;O1460;1;30;1-18
M1_3;15/03/2024;3;O2544;1;30;19-25
M1_3;16/03/2024;1;O1460;1;30;1-18
M1_3;16/03/2024;1;O2544;1;30;19-25
M1_3;16/03/2024;2;O1460;1;30;1-18
M1_3;16/03/2024;2;O2544;1;30;19-25
M1_3;16/03/2024;3;O1460;1;30;1-18
M1_3;16/03/2024;3;O2544;1;30;19-25
M1_3;17/03/2024;1;O1460;1;30;1-18
M1_3;17/03/2024;1;O2544;1;30;19-25
M1_3;17/03/2024;2;O1460;1;30;1-18
M1_3;17/03/2024;2;O2544;1;30;19-25
M1_3;17/03/2024;3;O1460;1;30;1-18
M1_3;17/03/2024;3;O2544;1;30;19-25
