Orden;Prog.;Maquina;Turno;Notificado;Fecha
22:30;O2909;W1;3;FALSO;9/11/2021
22:40;O2909;W1;3;FALSO;9/11/2021
22:50;O2918;W1;3;FALSO;9/11/2021
23:00;O2918;W1;3;FALSO;9/11/2021
23:10;O2909;W1;3;FALSO;9/11/2021
23:20;O2909;W1;3;FALSO;9/11/2021
23:30;O2918;W1;3;FALSO;9/11/2021
23:40;O2918;W1;3;FALSO;9/11/2021
23:50;O3000;W1;3;FALSO;9/11/2021
0:00;O2909;W1;3;FALSO;9/11/2021
0:10;O2909;W1;3;FALSO;9/11/2021
0:20;O2918;W1;3;FALSO;9/11/2021
0:30;O2918;W1;3;FALSO;9/11/2021
0:40;O3000;W1;3;FALSO;9/11/2021
0:50;O2909;W1;3;FALSO;9/11/2021
1:00;O2909;W1;3;FALSO;9/11/2021
1:10;O2918;W1;3;FALSO;9/11/2021
1:20;O2918;W1;3;FALSO;9/11/2021
22:30;O2909;W2;3;FALSO;9/11/2021
22:40;O2909;W2;3;FALSO;9/11/2021
22:50;O2918;W2;3;FALSO;9/11/2021
23:00;O2918;W2;3;FALSO;9/11/2021
23:10;O2909;W2;3;FALSO;9/11/2021
23:20;O2909;W2;3;FALSO;9/11/2021
23:30;O2918;W2;3;FALSO;9/11/2021
23:40;O2918;W2;3;FALSO;9/11/2021
23:50;O3000;W2;3;FALSO;9/11/2021
0:00;O2909;W2;3;FALSO;9/11/2021
0:10;O2909;W2;3;FALSO;9/11/2021
0:20;O2918;W2;3;FALSO;9/11/2021
0:30;O2918;W2;3;FALSO;9/11/2021
0:40;O3000;W2;3;FALSO;9/11/2021
0:50;O2909;W2;3;FALSO;9/11/2021
1:00;O2909;W2;3;FALSO;9/11/2021
1:10;O2918;W2;3;FALSO;9/11/2021
1:20;O2918;W2;3;FALSO;9/11/2021
22:30;O2909;W3;3;FALSO;9/11/2021
22:40;O2909;W3;3;FALSO;9/11/2021
22:50;O2918;W3;3;FALSO;9/11/2021
23:00;O2918;W3;3;FALSO;9/11/2021
23:10;O2909;W3;3;FALSO;9/11/2021
23:20;O2909;W3;3;FALSO;9/11/2021
23:30;O2918;W3;3;FALSO;9/11/2021
23:40;O2918;W3;3;FALSO;9/11/2021
23:50;O3000;W3;3;FALSO;9/11/2021
0:00;O2909;W3;3;FALSO;9/11/2021
0:10;O2909;W3;3;FALSO;9/11/2021
0:20;O2918;W3;3;FALSO;9/11/2021
0:30;O2918;W3;3;FALSO;9/11/2021
0:40;O3000;W3;3;FALSO;9/11/2021
0:50;O2909;W3;3;FALSO;9/11/2021
1:00;O2909;W3;3;FALSO;9/11/2021
1:10;O2918;W3;3;FALSO;9/11/2021
1:20;O2918;W3;3;FALSO;9/11/2021
22:30;O2909;W4;3;FALSO;9/11/2021
22:40;O2909;W4;3;FALSO;9/11/2021
22:50;O2918;W4;3;FALSO;9/11/2021
23:00;O2918;W4;3;FALSO;9/11/2021
23:10;O2909;W4;3;FALSO;9/11/2021
23:20;O2909;W4;3;FALSO;9/11/2021
23:30;O2918;W4;3;FALSO;9/11/2021
23:40;O2918;W4;3;FALSO;9/11/2021
23:50;O3000;W4;3;FALSO;9/11/2021
0:00;O2909;W4;3;FALSO;9/11/2021
0:10;O2909;W4;3;FALSO;9/11/2021
0:20;O2918;W4;3;FALSO;9/11/2021
0:30;O2918;W4;3;FALSO;9/11/2021
0:40;O3000;W4;3;FALSO;9/11/2021
0:50;O2909;W4;3;FALSO;9/11/2021
1:00;O2909;W4;3;FALSO;9/11/2021
1:10;O2918;W4;3;FALSO;9/11/2021
1:20;O2918;W4;3;FALSO;9/11/2021
22:30;O2909;W5;3;FALSO;9/11/2021
22:40;O2909;W5;3;FALSO;9/11/2021
22:50;O2918;W5;3;FALSO;9/11/2021
23:00;O2918;W5;3;FALSO;9/11/2021
23:10;O2909;W5;3;FALSO;9/11/2021
23:20;O2909;W5;3;FALSO;9/11/2021
23:30;O2918;W5;3;FALSO;9/11/2021
23:40;O2918;W5;3;FALSO;9/11/2021
23:50;O3000;W5;3;FALSO;9/11/2021
0:00;O2909;W5;3;FALSO;9/11/2021
0:10;O2909;W5;3;FALSO;9/11/2021
0:20;O2918;W5;3;FALSO;9/11/2021
0:30;O2918;W5;3;FALSO;9/11/2021
0:40;O3000;W5;3;FALSO;9/11/2021
0:50;O2909;W5;3;FALSO;9/11/2021
1:00;O2909;W5;3;FALSO;9/11/2021
1:10;O2918;W5;3;FALSO;9/11/2021
1:20;O2918;W5;3;FALSO;9/11/2021
22:30;O2909;W6;3;FALSO;9/11/2021
22:40;O2909;W6;3;FALSO;9/11/2021
22:50;O2918;W6;3;FALSO;9/11/2021
23:00;O2918;W6;3;FALSO;9/11/2021
23:10;O2909;W6;3;FALSO;9/11/2021
23:20;O2909;W6;3;FALSO;9/11/2021
23:30;O2918;W6;3;FALSO;9/11/2021
23:40;O2918;W6;3;FALSO;9/11/2021
23:50;O3000;W6;3;FALSO;9/11/2021
0:00;O2909;W6;3;FALSO;9/11/2021
0:10;O2909;W6;3;FALSO;9/11/2021
0:20;O2918;W6;3;FALSO;9/11/2021
0:30;O2918;W6;3;FALSO;9/11/2021
0:40;O3000;W6;3;FALSO;9/11/2021
0:50;O2909;W6;3;FALSO;9/11/2021
1:00;O2909;W6;3;FALSO;9/11/2021
1:10;O2918;W6;3;FALSO;9/11/2021
1:20;O2918;W6;3;FALSO;9/11/2021
22:30;O2909;W7;3;FALSO;9/11/2021
22:40;O2909;W7;3;FALSO;9/11/2021
22:50;O2918;W7;3;FALSO;9/11/2021
23:00;O2918;W7;3;FALSO;9/11/2021
23:10;O2909;W7;3;FALSO;9/11/2021
23:20;O2909;W7;3;FALSO;9/11/2021
23:30;O2918;W7;3;FALSO;9/11/2021
23:40;O2918;W7;3;FALSO;9/11/2021
23:50;O3000;W7;3;FALSO;9/11/2021
0:00;O2909;W7;3;FALSO;9/11/2021
0:10;O2909;W7;3;FALSO;9/11/2021
0:20;O2918;W7;3;FALSO;9/11/2021
0:30;O2918;W7;3;FALSO;9/11/2021
0:40;O3000;W7;3;FALSO;9/11/2021
0:50;O2909;W7;3;FALSO;9/11/2021
1:00;O2909;W7;3;FALSO;9/11/2021
1:10;O2918;W7;3;FALSO;9/11/2021
1:20;O2918;W7;3;FALSO;9/11/2021
22:30;O2909;W8;3;FALSO;9/11/2021
22:40;O2909;W8;3;FALSO;9/11/2021
22:50;O2918;W8;3;FALSO;9/11/2021
23:00;O2918;W8;3;FALSO;9/11/2021
23:10;O2909;W8;3;FALSO;9/11/2021
23:20;O2909;W8;3;FALSO;9/11/2021
23:30;O2918;W8;3;FALSO;9/11/2021
