Banco_Alias;Fecha;Turno;Material;Moldes_Reales;Ciclos;Indicador_Molde
B1;17/06/2021;3;OO178;1;20;1
B1;17/06/2021;3;OO178;1;20;2
B1;17/06/2021;3;OO178;1;20;3
B1;17/06/2021;3;OO178;1;20;4
B1;17/06/2021;3;OO178;1;20;5
B1;17/06/2021;3;OO178;1;20;6
B1;17/06/2021;3;OO178;1;20;7
B1;17/06/2021;3;OO178;1;20;8
B1;17/06/2021;3;OO178;1;20;9
B1;17/06/2021;3;OO178;1;20;10
B1;17/06/2021;3;OO178;1;20;11
B1;17/06/2021;3;OO178;1;20;12
B1;17/06/2021;3;OO178;1;20;13
B1;17/06/2021;3;OO178;1;20;14
B1;17/06/2021;3;OO178;1;20;15
B1;17/06/2021;3;OO178;1;20;16
B1;17/06/2021;3;OO178;1;20;17
B1;17/06/2021;3;OO178;1;20;18
B1;17/06/2021;3;OO178;1;20;19
B1;17/06/2021;3;OO178;1;20;20
B1;17/06/2021;3;OO178;1;20;21
B1;17/06/2021;3;OO178;1;20;22
B1;17/06/2021;3;OO178;1;20;23
B1;17/06/2021;3;OO178;1;20;24
B1;17/06/2021;3;OO178;1;20;25
B1;17/06/2021;3;OO178;1;20;26
B1;17/06/2021;3;OO178;1;20;27
B1;17/06/2021;3;OO178;1;20;28
B1;17/06/2021;2;OO178;1;20;1
B1;17/06/2021;2;OO178;1;20;2
B1;17/06/2021;2;OO178;1;20;3
B1;17/06/2021;2;OO178;1;20;4
B1;17/06/2021;2;OO178;1;20;5
B1;17/06/2021;2;OO178;1;20;6
B1;17/06/2021;2;OO178;1;20;7
B1;17/06/2021;2;OO178;1;20;8
B1;17/06/2021;2;OO178;1;20;9
B1;17/06/2021;2;OO178;1;20;10
B1;17/06/2021;2;OO178;1;20;11
B1;17/06/2021;2;OO178;1;20;12
B1;17/06/2021;2;OO178;1;20;13
B1;17/06/2021;2;OO178;1;20;14
B1;17/06/2021;2;OO178;1;20;15
B1;17/06/2021;2;OO178;1;20;16
B1;17/06/2021;2;OO178;1;20;17
B1;17/06/2021;2;OO178;1;20;18
B1;17/06/2021;2;OO178;1;20;19
B1;17/06/2021;2;OO178;1;20;20
B1;17/06/2021;2;OO178;1;20;21
B1;17/06/2021;2;OO178;1;20;22
B1;17/06/2021;2;OO178;1;20;23
B1;17/06/2021;2;OO178;1;20;24
B1;17/06/2021;2;OO178;1;20;25
B1;17/06/2021;2;OO178;1;20;26
B1;17/06/2021;2;OO178;1;20;27
B1;17/06/2021;2;OO178;1;20;28
B1;17/06/2021;1;OO178;1;20;1
B1;17/06/2021;1;OO178;1;20;2
B1;17/06/2021;1;OO178;1;20;3
B1;17/06/2021;1;OO178;1;20;4
B1;17/06/2021;1;OO178;1;20;5
B1;17/06/2021;1;OO178;1;20;6
B1;17/06/2021;1;OO178;1;20;7
B1;17/06/2021;1;OO178;1;20;8
B1;17/06/2021;1;OO178;1;20;9
B1;17/06/2021;1;OO178;1;20;10
B1;17/06/2021;1;OO178;1;20;11
B1;17/06/2021;1;OO178;1;20;12
B1;17/06/2021;1;OO178;1;20;13
B1;17/06/2021;1;OO178;1;20;14
B1;17/06/2021;1;OO178;1;20;15
B1;17/06/2021;1;OO178;1;20;16
B1;17/06/2021;1;OO178;1;20;17
B1;17/06/2021;1;OO178;1;20;18
B1;17/06/2021;1;OO178;1;20;19
B1;17/06/2021;1;OO178;1;20;20
B1;17/06/2021;1;OO178;1;20;21
B1;17/06/2021;1;OO178;1;20;22
B1;17/06/2021;1;OO178;1;20;23
B1;17/06/2021;1;OO178;1;20;24
B1;17/06/2021;1;OO178;1;20;25
B1;17/06/2021;1;OO178;1;20;26
B1;17/06/2021;1;OO178;1;20;27
B1;17/06/2021;1;OO178;1;20;28
