Banco_Alias;Fecha;Turno;Material;Moldes_Reales;Ciclos;Indicador_Molde
S8;22/09/2023;2;O3000;1;30;1-100
S8;22/09/2023;2;O2909;1;30;16-30
S8;22/09/2023;3;O3000;1;30;1-15
S8;22/09/2023;3;O2909;1;30;16-30
S8;23/09/2023;1;O3000;1;30;1-15
S8;23/09/2023;1;O2909;1;30;16-30
S8;23/09/2023;2;O3000;1;30;1-15
S8;23/09/2023;2;O2909;1;30;16-30
S8;23/09/2023;3;O3000;1;30;1-15
S8;23/09/2023;3;O2909;1;30;16-30
S8;24/09/2023;1;O3000;1;30;1-15
S8;24/09/2023;1;O2909;1;30;16-30
S8;24/09/2023;2;O3000;1;30;1-15
S8;24/09/2023;2;O2909;1;30;16-30
S8;24/09/2023;3;O3000;1;30;1-15
S8;24/09/2023;3;O2909;1;30;16-30
S8;25/09/2023;1;O3000;1;30;1-15
S8;25/09/2023;1;O2909;1;30;16-30
S8;25/09/2023;2;O3000;1;30;1-15
S8;25/09/2023;2;O2909;1;30;16-30
S8;25/09/2023;3;O3000;1;30;1-15
S8;25/09/2023;3;O2909;1;30;16-30
S8;26/09/2023;1;O3000;1;30;1-15
S8;26/09/2023;1;O2909;1;30;16-30
S8;26/09/2023;2;O3000;1;30;1-15
S8;26/09/2023;2;O2909;1;30;16-30
S8;26/09/2023;3;O3000;1;30;1-15
S8;26/09/2023;3;O2909;1;30;16-30
S8;27/09/2023;1;O3000;1;30;1-15
S8;27/09/2023;1;O2909;1;30;16-30
S8;27/09/2023;2;O3000;1;30;1-15
S8;27/09/2023;2;O2909;1;30;16-30
S8;27/09/2023;3;O3000;1;30;1-15
S8;27/09/2023;3;O2909;1;30;16-30
S8;28/09/2023;1;O3000;1;30;1-15
S8;28/09/2023;1;O2909;1;30;16-30
S8;28/09/2023;2;O3000;1;30;1-15
S8;28/09/2023;2;O2909;1;30;16-30
S8;28/09/2023;3;O3000;1;30;1-15
S8;28/09/2023;3;O2909;1;30;16-30
S8;29/09/2023;1;O3000;1;30;1-15
S8;29/09/2023;1;O2909;1;30;16-30
S8;29/09/2023;2;O3000;1;30;1-15
S8;29/09/2023;2;O2909;1;30;16-30
S8;29/09/2023;3;O3000;1;30;1-15
S8;29/09/2023;3;O2909;1;30;16-30
S8;30/09/2023;1;O3000;1;30;1-15
S8;30/09/2023;1;O2909;1;30;16-30
S8;30/09/2023;2;O3000;1;30;1-15
S8;30/09/2023;2;O2909;1;30;16-30
S8;30/09/2023;3;O3000;1;30;1-15
S8;30/09/2023;3;O2909;1;30;16-30
B600;22/09/2023;1;O3000;1;30;1-15
B600;22/09/2023;1;O2909;1;30;16-30
B600;22/09/2023;2;O3000;1;30;1-15
B600;22/09/2023;2;O2909;1;30;16-30
B600;22/09/2023;3;O3000;1;30;1-15
B600;22/09/2023;3;O2909;1;30;16-30
B600;23/09/2023;1;O3000;1;30;1-15
B600;23/09/2023;1;O2909;1;30;16-30
B600;23/09/2023;2;O3000;1;30;1-15
B600;23/09/2023;2;O2909;1;30;16-30
B600;23/09/2023;3;O3000;1;30;1-15
B600;23/09/2023;3;O2909;1;30;16-30
B600;24/09/2023;1;O3000;1;30;1-15
B600;24/09/2023;1;O2909;1;30;16-30
B600;24/09/2023;2;O3000;1;30;1-15
B600;24/09/2023;2;O2909;1;30;16-30
B600;24/09/2023;3;O3000;1;30;1-15
B600;24/09/2023;3;O2909;1;30;16-30
B600;25/09/2023;1;O3000;1;30;1-15
B600;25/09/2023;1;O2909;1;30;16-30
B600;25/09/2023;2;O3000;1;30;1-15
B600;25/09/2023;2;O2909;1;30;16-30
B600;25/09/2023;3;O3000;1;30;1-15
B600;25/09/2023;3;O2909;1;30;16-30
B600;26/09/2023;1;O3000;1;30;1-15
B600;26/09/2023;1;O2909;1;30;16-30
B600;26/09/2023;2;O3000;1;30;1-15
B600;26/09/2023;2;O2909;1;30;16-30
B600;26/09/2023;3;O3000;1;30;1-15
B600;26/09/2023;3;O2909;1;30;16-30
B600;27/09/2023;1;O3000;1;30;1-15
B600;27/09/2023;1;O2909;1;30;16-30
B600;27/09/2023;2;O3000;1;30;1-15
B600;27/09/2023;2;O2909;1;30;16-30
B600;27/09/2023;3;O3000;1;30;1-15
