Orden;Prog.;Maquina;Turno;Notificado;Fecha
18:54;O2918;W6;2;FALSO;12/10/2021
18:55;O2918;W6;2;FALSO;12/10/2021
19:00;O3000;W6;2;FALSO;12/10/2021
19:05;O2909;W6;2;FALSO;12/10/2021
19:10;O2909;W6;2;FALSO;12/10/2021
19:15;O2918;W6;2;FALSO;12/10/2021
19:20;O2918;W6;2;FALSO;12/10/2021
19:25;O3000;W6;2;FALSO;12/10/2021
19:30;O2909;W6;2;FALSO;12/10/2021
19:35;O2909;W6;2;FALSO;12/10/2021
19:40;O2918;W6;2;FALSO;12/10/2021
19:45;O2918;W6;2;FALSO;12/10/2021
18:54;O2918;W7;2;FALSO;12/10/2021
18:55;O2918;W7;2;FALSO;12/10/2021
19:00;O3000;W7;2;FALSO;12/10/2021
19:05;O2909;W7;2;FALSO;12/10/2021
19:10;O2909;W7;2;FALSO;12/10/2021
19:15;O2918;W7;2;FALSO;12/10/2021
19:20;O2918;W7;2;FALSO;12/10/2021
19:25;O3000;W7;2;FALSO;12/10/2021
19:30;O2909;W7;2;FALSO;12/10/2021
19:35;O2909;W7;2;FALSO;12/10/2021
19:40;O2918;W7;2;FALSO;12/10/2021
19:45;O2918;W7;2;FALSO;12/10/2021
18:54;O2918;W3;2;FALSO;12/10/2021
18:55;O2918;W3;2;FALSO;12/10/2021
19:00;O3000;W8;2;FALSO;12/10/2021
19:05;O2909;W8;2;FALSO;12/10/2021
19:10;O2909;W8;2;FALSO;12/10/2021
19:15;O2918;W8;2;FALSO;12/10/2021
19:20;O2918;W8;2;FALSO;12/10/2021
19:25;O3000;W8;2;FALSO;12/10/2021
19:30;O2909;W8;2;FALSO;12/10/2021
19:35;O2909;W8;2;FALSO;12/10/2021
19:40;O2918;W8;2;FALSO;12/10/2021
19:45;O2918;W8;2;FALSO;12/10/2021
