Orden;Prog.;Maquina;Turno;Notificado;Fecha
6:05;O1014;W4;1;FALSO;15/01/2025
6:10;O2780;W4;1;FALSO;15/01/2025
6:15;O2023;W4;1;FALSO;15/01/2025
6:20;O7119;W4;1;FALSO;15/01/2025
6:25;O1014;W4;1;FALSO;15/01/2025
6:30;O2023;W4;1;FALSO;15/01/2025
6:35;O7119;W4;1;FALSO;15/01/2025
6:40;O7339;W4;1;FALSO;15/01/2025
6:45;O1014;W4;1;FALSO;15/01/2025
6:50;O2023;W4;1;FALSO;15/01/2025
6:55;O2780;W4;1;FALSO;15/01/2025
7:00;O4115;W4;1;FALSO;15/01/2025
14:00;O1014;W4;2;FALSO;15/01/2025
14:05;O2780;W4;2;FALSO;15/01/2025
14:10;O2023;W4;2;FALSO;15/01/2025
14:15;O7119;W4;2;FALSO;15/01/2025
14:20;O1014;W4;2;FALSO;15/01/2025
14:25;O2023;W4;2;FALSO;15/01/2025
14:30;O7119;W4;2;FALSO;15/01/2025
14:35;O7339;W4;2;FALSO;15/01/2025
14:40;O1014;W4;2;FALSO;15/01/2025
14:45;O2023;W4;2;FALSO;15/01/2025
14:50;O2780;W4;2;FALSO;15/01/2025
14:55;O4115;W4;2;FALSO;15/01/2025
23:00;O1014;W4;3;FALSO;15/01/2025
23:01;O2780;W4;3;FALSO;15/01/2025
23:02;O2023;W4;3;FALSO;15/01/2025
23:03;O7119;W4;3;FALSO;15/01/2025
23:04;O1014;W4;3;FALSO;15/01/2025
23:05;O2023;W4;3;FALSO;15/01/2025
23:06;O7119;W4;3;FALSO;15/01/2025
23:07;O7339;W4;3;FALSO;15/01/2025
23:08;O1014;W4;3;FALSO;15/01/2025
23:09;O2023;W4;3;FALSO;15/01/2025
23:10;O2780;W4;3;FALSO;15/01/2025
23:11;O4115;W4;3;FALSO;15/01/2025
6:05;O1014;W4;1;FALSO;16/01/2025
6:10;O2780;W4;1;FALSO;16/01/2025
6:15;O2023;W4;1;FALSO;16/01/2025
6:20;O7119;W4;1;FALSO;16/01/2025
6:25;O1014;W4;1;FALSO;16/01/2025
6:30;O2023;W4;1;FALSO;16/01/2025
6:35;O7119;W4;1;FALSO;16/01/2025
6:40;O7339;W4;1;FALSO;16/01/2025
6:45;O1014;W4;1;FALSO;16/01/2025
6:50;O2023;W4;1;FALSO;16/01/2025
6:55;O2780;W4;1;FALSO;16/01/2025
7:00;O4115;W4;1;FALSO;16/01/2025
14:00;O1014;W4;2;FALSO;16/01/2025
14:05;O2780;W4;2;FALSO;16/01/2025
14:10;O2023;W4;2;FALSO;16/01/2025
14:15;O7119;W4;2;FALSO;16/01/2025
14:20;O1014;W4;2;FALSO;16/01/2025
14:25;O2023;W4;2;FALSO;16/01/2025
14:30;O7119;W4;2;FALSO;16/01/2025
14:35;O7339;W4;2;FALSO;16/01/2025
14:40;O1014;W4;2;FALSO;16/01/2025
14:45;O2023;W4;2;FALSO;16/01/2025
14:50;O2780;W4;2;FALSO;16/01/2025
14:55;O4115;W4;2;FALSO;16/01/2025
23:00;O1014;W4;3;FALSO;16/01/2025
23:01;O2780;W4;3;FALSO;16/01/2025
23:02;O2023;W4;3;FALSO;16/01/2025
23:03;O7119;W4;3;FALSO;16/01/2025
23:04;O1014;W4;3;FALSO;16/01/2025
23:05;O2023;W4;3;FALSO;16/01/2025
23:06;O7119;W4;3;FALSO;16/01/2025
23:07;O7339;W4;3;FALSO;16/01/2025
23:08;O1014;W4;3;FALSO;16/01/2025
23:09;O2023;W4;3;FALSO;16/01/2025
23:10;O2780;W4;3;FALSO;16/01/2025
23:11;O4115;W4;3;FALSO;16/01/2025
